wind_speed_m_per_s,wind_direction_deg,yaw_angles_deg_by_turbine
7.000000,7.500000,"[0.0, 0.0, 0.0, -4.916666666666665, 0.0, 5.714285714285715, 0.0, 3.1428571428571432, 0.0, 3.4285714285714293, 0.0, -8.892857142857142, 0.0, -13.761904761904761, 0.0, 0.0, -11.190476190476188]"
7.000000,12.500000,"[0.0, 0.0, 0.0, -10.089285714285714, 0.0, 3.30952380952381, 0.0, 0.0, 0.0, 0.0, 0.0, -13.630952380952381, 0.0, -18.5, 0.0, 0.0, -13.58333333333333]"
7.000000,17.500000,"[0.0, 0.0, 0.0, -17.952380952380953, 0.0, 0.0, -4.660714285714285, 0.0, 0.0, 0.0, 0.0, -15.875, 0.0, -18.5, -2.2321428571428577, 0.0, -11.428571428571429]"
7.000000,22.500000,"[0.0, 0.0, 0.0, 20.0, 0.0, 0.0, -8.976190476190476, 0.0, 0.0, 0.0, 0.0, 20.0, 0.0, 19.39285714285714, -5.476190476190475, 1.6428571428571432, 10.589285714285715]"
7.000000,27.500000,"[0.0, 0.0, 0.0, 19.214285714285715, 0.0, 0.0, -7.428571428571429, 0.0, 0.0, 0.0, 0.0, 18.64285714285714, 0.0, 16.30357142857143, -7.142857142857142, 0.0, 8.732142857142858]"
7.000000,32.500000,"[0.0, -2.1250000000000004, 0.0, 16.547619047619055, 0.0, -2.2619047619047623, 5.8690476190476195, 0.0, 0.0, 0.0, 0.0, 11.42857142857143, 0.0, 9.589285714285715, 0.0, 0.0, 5.714285714285715]"
7.000000,37.500000,"[0.0, -1.4285714285714288, 0.0, 11.04761904761905, 0.0, 0.0, 8.988095238095239, 0.0, 0.0, -4.428571428571429, 0.0, 5.714285714285715, 0.0, 4.773809523809525, 7.42857142857143, 0.0, 1.5714285714285716]"
7.000000,42.500000,"[0.0, 1.940476190476191, 0.0, 5.190476190476192, 0.0, 2.035714285714286, 6.095238095238097, 0.0, 0.0, -6.38095238095238, 0.0, 0.0, 0.0, 1.5714285714285716, 5.714285714285715, 0.0, 0.0]"
7.000000,47.500000,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.7142857142857149, 0.0]"
7.000000,52.500000,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -2.8571428571428577, -2.2500000000000004, 0.0, 7.095238095238097, 0.0, 0.0, -5.142857142857142, 0.0, 0.0, -1.547619047619048, 0.0]"
7.000000,57.500000,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.9107142857142863, -4.595238095238095, 0.0, 5.48809523809524, 0.0, 0.0, -8.416666666666666, 0.0, 0.0, 3.4285714285714293, 0.0]"
7.000000,62.500000,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.2619047619047623, -2.2261904761904763, 0.0, 1.6309523809523814, 0.0, 0.0, -3.4285714285714293, 0.0, 0.0, 2.8571428571428577, 0.0]"
7.000000,67.500000,"[-4.642857142857142, 0.0, 1.8214285714285718, 0.0, 0.0, 0.0, 0.0, 4.571428571428572, 0.0, 0.0, 0.0, 0.0, 6.357142857142858, 0.0, 0.0, 0.0, 0.0]"
7.000000,72.500000,"[-3.7678571428571432, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.910714285714286, 0.0, 0.0, 0.0, 0.0, 6.940476190476191, 0.0, -2.6190476190476195, 0.0, 0.0]"
7.000000,77.500000,"[6.928571428571429, 0.0, -3.4285714285714293, 0.0, 0.0, 0.0, 0.0, 1.5595238095238098, 0.0, 0.0, 0.0, 0.0, 3.589285714285715, 0.0, 0.0, 0.0, 0.0]"
7.000000,82.500000,"[7.071428571428573, 0.0, -3.3928571428571437, 0.0, 0.0, 1.8750000000000004, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.1904761904761907, 0.0, 0.0]"
7.000000,87.500000,"[3.1428571428571432, -3.6190476190476195, 2.8571428571428577, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
7.000000,92.500000,"[0.0, -3.2500000000000004, 3.916666666666667, 0.0, 0.0, 0.0, 0.0, -2.8571428571428577, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
7.000000,97.500000,"[0.0, 1.7142857142857146, 0.0, 0.0, 0.0, 0.0, 0.0, -8.166666666666666, 0.0, -1.6785714285714293, 0.0, 0.0, -3.2500000000000004, 0.0, 0.0, 0.0, 0.0]"
7.000000,102.500000,"[0.0, 3.928571428571429, -2.5357142857142865, 0.0, 0.0, 0.0, 0.0, -12.226190476190476, 0.0, 0.0, -3.2976190476190483, 0.0, -2.154761904761905, 0.0, 0.0, 0.0, 0.0]"
7.000000,107.500000,"[-1.952380952380953, 1.4880952380952384, -5.0476190476190474, 0.0, 0.0, 0.0, 0.0, -4.2857142857142865, 0.0, 1.7500000000000004, -2.6428571428571432, 0.0, 3.2500000000000004, 0.0, 0.0, -1.6428571428571435, 0.0]"
7.000000,112.500000,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.940476190476192, 0.0, 0.0, 2.6309523809523814, 0.0, 1.940476190476191, 0.0, 0.0, -1.7857142857142863, 0.0]"
7.000000,117.500000,"[2.1071428571428577, 0.0, 6.053571428571429, 0.0, 0.0, -1.4285714285714288, 0.0, 11.267857142857146, 0.0, -1.5952380952380958, 2.571428571428572, 0.0, 0.0, 0.0, 0.0, 3.089285714285715, 0.0]"
7.000000,122.500000,"[0.0, 0.0, 4.0, 0.0, -2.8571428571428577, -3.910714285714287, -2.6607142857142865, 6.089285714285715, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
7.000000,127.500000,"[0.0, -1.6428571428571435, 0.0, 0.0, -6.345238095238094, -8.964285714285715, -7.071428571428571, 1.7738095238095242, 0.0, 1.6190476190476195, -2.8571428571428577, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
7.000000,132.500000,"[0.0, -4.517857142857142, 0.0, 0.0, -6.160714285714285, -14.44642857142857, -12.69642857142857, 0.0, 0.0, 0.0, -1.7678571428571435, 0.0, -3.488095238095239, 0.0, 0.0, 0.0, 0.0]"
7.000000,137.500000,"[0.0, -3.3928571428571437, 0.0, 0.0, 6.833333333333334, -18.0, -17.404761904761905, 0.0, 0.0, 0.0, 3.095238095238096, 0.0, -5.059523809523809, 0.0, 0.0, -2.3690476190476195, 0.0]"
7.000000,142.500000,"[0.0, 1.8750000000000004, 0.0, 0.0, 7.232142857142858, -20.0, -15.499999999999998, 0.0, 0.0, 0.0, 1.6785714285714288, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
7.000000,147.500000,"[0.0, 2.4821428571428577, 0.0, 0.0, 2.160714285714286, 14.047619047619046, 19.07142857142857, 0.0, 0.0, 0.0, 0.0, 0.0, 5.714285714285715, 0.0, 0.0, -8.964285714285715, 0.0]"
7.000000,152.500000,"[0.0, 0.0, 0.0, 0.0, 0.0, 8.000000000000002, 14.857142857142856, 0.0, 0.0, 0.0, 0.0, 0.0, 3.023809523809524, 0.0, 0.0, -10.142857142857142, 0.0]"
7.000000,157.500000,"[0.0, -6.5476190476190474, 0.0, 0.0, 0.0, 3.083333333333334, 8.30357142857143, 0.0, 0.0, 0.0, 1.6309523809523814, 0.0, 0.0, 0.0, 0.0, -6.857142857142857, 0.0]"
7.000000,162.500000,"[-2.083333333333334, -9.785714285714285, 0.0, 0.0, 0.0, 0.0, 3.595238095238096, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.952380952380954, 0.0]"
7.000000,167.500000,"[2.440476190476191, -6.8809523809523805, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.7142857142857149, 0.0, 0.0, 0.0, 0.0, 0.0, 9.839285714285715, 0.0]"
7.000000,172.500000,"[0.0, 7.500000000000002, 0.0, 0.0, -3.8928571428571437, 0.0, 0.0, 0.0, 0.0, -1.821428571428572, 1.666666666666667, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
7.000000,177.500000,"[-3.690476190476191, 10.750000000000002, 0.0, -2.8571428571428577, -3.452380952380953, 0.0, 0.0, 0.0, -3.035714285714286, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.8571428571428577, 0.0]"
7.000000,182.500000,"[0.0, 6.154761904761906, 0.0, -8.0, 3.8035714285714293, 0.0, 0.0, 0.0, -9.142857142857142, 1.660714285714286, 0.0, -2.1428571428571432, 0.0, 0.0, 0.0, 0.0, -3.8571428571428577]"
7.000000,187.500000,"[5.232142857142858, 2.089285714285715, 0.0, -11.976190476190476, 4.392857142857143, 0.0, 0.0, 0.0, -13.57142857142857, 0.0, 0.0, -4.488095238095238, 0.0, 0.0, 0.0, 0.0, -9.839285714285715]"
7.000000,192.500000,"[2.035714285714286, 0.0, 0.0, -13.44642857142857, 0.0, 0.0, 0.0, 0.0, -18.5, 0.0, 0.0, -8.571428571428571, 0.0, 0.0, 0.0, 0.0, -15.946428571428571]"
7.000000,197.500000,"[-3.845238095238096, 0.0, -1.547619047619048, -10.630952380952381, 0.0, 0.0, 0.0, 0.0, -17.142857142857142, 0.0, 0.0, -11.839285714285715, 0.0, 0.0, 0.0, 0.0, -20.0]"
7.000000,202.500000,"[-8.857142857142858, 0.0, -5.571428571428571, 13.821428571428571, 0.0, 0.0, 0.0, 0.0, 18.178571428571434, 0.0, 0.0, 20.0, 0.0, 0.0, 0.0, 0.0, 19.92857142857143]"
7.000000,207.500000,"[-7.464285714285714, 0.0, -7.404761904761905, 10.833333333333334, 0.0, 0.0, 0.0, 0.0, 13.142857142857142, 0.0, 0.0, 20.0, 0.0, 0.0, 0.0, 0.0, 17.71428571428572]"
7.000000,212.500000,"[5.714285714285715, 0.0, 0.0, 7.559523809523811, 0.0, 0.0, 0.0, 0.0, 6.982142857142859, -1.5238095238095242, 0.0, 17.142857142857146, -2.3571428571428577, 0.0, 0.0, 0.0, 12.69642857142857]"
