wind_speed_m_per_s,wind_direction_deg,yaw_angles_deg_by_turbine
7.000000,287.500000,"[-7.083333333333333, 0.0, 0.0, 4.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.375, 4.0, 0.0, 3.7291666666666665, 3.5, 10.8125]"
7.000000,292.500000,"[5.833333333333333, 0.0, 0.0, 0.0, 0.0, -3.6875, 0.0, 0.0, 0.0, 0.0, 0.0, 8.0, 0.0, 0.0, 0.0, 0.0, 12.895833333333332]"
7.000000,297.500000,"[6.708333333333334, 0.0, 0.0, 0.0, 0.0, -12.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -10.083333333333334, 0.0, -2.1666666666666665, 2.0, 3.5]"
7.000000,302.500000,"[0.0, -4.916666666666667, -2.354166666666667, -8.708333333333332, 0.0, -13.604166666666668, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -4.833333333333333, 0.0, -4.0, -6.25, 0.0]"
7.000000,307.500000,"[-3.0, 0.0, -9.6875, 9.291666666666668, 0.0, 15.083333333333334, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 12.0, 0.0, 4.75, 0.0, 0.0]"
7.000000,312.500000,"[-3.5, 5.645833333333334, -16.0, 12.0, 0.0, 8.5, 0.0, 0.0, 0.0, 0.0, 0.0, -2.291666666666667, 5.0, 0.0, 0.0, 9.0, 0.0]"
9.000000,97.500000,"[3.5833333333333335, 0.0, 7.166666666666667, 0.0, 9.0625, 0.0, 1.75, 0.0, -8.895833333333332, 10.0, -2.8125, 0.0, 0.0, 0.0, 0.0, 0.0, -7.104166666666666]"
9.000000,102.500000,"[0.0, 8.9375, 0.0, -6.604166666666666, 2.354166666666667, 0.0, -5.083333333333333, 0.0, -17.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.0]"
9.000000,107.500000,"[0.0, 2.75, 0.0, 0.0, 0.0, 2.5833333333333335, 4.0, 0.0, 16.5, 0.0, -5.166666666666667, 0.0, 0.0, 0.0, 0.0, 0.0, 3.5]"
9.000000,117.500000,"[0.0, 0.0, 0.0, 0.0, -9.791666666666668, -4.604166666666666, -2.125, 0.0, 4.5625, 0.0, 6.4375, 0.0, 0.0, -13.729166666666666, 0.0, 0.0, 0.0]"
9.000000,122.500000,"[0.0, 0.0, 0.0, -4.583333333333333, -6.875, -10.4375, -4.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -19.25, 0.0, 0.0, -3.6875]"
9.000000,127.500000,"[0.0, 0.0, 0.0, 0.0, 10.916666666666666, 3.0, 4.0, 0.0, -2.8125, 0.0, -9.125, 0.0, 0.0, 17.5, 0.0, 0.0, 0.0]"
9.000000,132.500000,"[0.0, 0.0, 0.0, 5.916666666666667, 4.791666666666666, 11.0, 0.0, 0.0, -3.3125, 0.0, -16.0, 0.0, 0.0, 10.583333333333334, 0.0, 0.0, 5.5]"
9.000000,137.500000,"[0.0, 0.0, 0.0, 0.0, -2.7708333333333335, 4.291666666666666, 0.0, 0.0, 5.229166666666667, 0.0, 2.8333333333333335, 0.0, 0.0, 4.0, 0.0, 0.0, 0.0]"
9.000000,187.500000,"[0.0, 0.0, 0.0, 10.104166666666668, -5.75, 0.0, 0.0, 19.614583333333332, -4.0, 0.0, 0.0, 7.5, 20.0, 0.0, 17.854166666666664, 0.0, -10.583333333333334]"
9.000000,192.500000,"[0.0, 0.0, 0.0, 4.0, 10.0, 0.0, 0.0, 12.0, 0.0, 0.0, 0.0, 3.041666666666667, 14.770833333333334, -6.166666666666667, 12.0, 0.0, 7.0]"
9.000000,197.500000,"[0.0, 0.0, 0.0, 0.0, 3.291666666666667, 0.0, -4.645833333333334, 4.5, 6.229166666666667, 0.0, 0.0, 0.0, 6.875, 0.0, 4.0, 0.0, 7.416666666666667]"
9.000000,227.500000,"[0.0, 0.0, 0.0, 6.6875, 0.0, 14.791666666666668, 0.0, 0.0, 0.0, 0.0, 2.2083333333333335, 0.0, -6.208333333333334, 8.0, -4.75, 0.0, -6.5]"
9.000000,232.500000,"[0.0, 0.0, 0.0, 0.0, -5.708333333333334, 9.791666666666668, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -2.5, 0.0, 6.875, 0.0, 6.291666666666666]"
9.000000,237.500000,"[0.0, 0.0, 0.0, -2.6875, 10.5625, 4.0, -4.666666666666667, 0.0, 0.0, 0.0, 0.0, 0.0, 8.0, 0.0, 0.0, 0.0, 11.708333333333332]"
9.000000,242.500000,"[0.0, 0.0, 0.0, 4.0, 4.958333333333334, 0.0, 4.0, 0.0, 0.0, 0.0, 0.0, -6.145833333333334, 2.9375, 0.0, 2.5625, 0.0, 5.916666666666667]"
9.000000,247.500000,"[0.0, 0.0, 0.0, 0.0, -3.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -12.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
